car_id,brand,model,year,mileage,fuel_type,transmission,sale_month,zip_prefix,price
CAR_0,Toyota,Model_T,2018,-500,Diesel,Automatic,10,100,5000.0
CAR_1,Audi,Model_A,2023,107639,Petrol,Automatic,11,100,10.0
CAR_2,Tesla,Model_T,2030,139152,Hybrid,Manual,4,100,34144.8
CAR_3,Mercedes,Model_M,2015,144662,Diesel,Manual,12,100,15751.8
CAR_4,BMW,Model_B,2021,91450,Diesel,Automatic,7,100,33689.0
CAR_5,BMW,Model_B,2017,83194,Diesel,Manual,1,100,28584.6
CAR_6,Audi,Model_A,2015,143206,Diesel,Manual,8,100,17740.4
CAR_7,Toyota,Model_T,2019,74966,Electric,Automatic,4,100,5000.0
CAR_8,Audi,Model_A,2015,30451,Diesel,Automatic,12,100,28505.9
CAR_9,Toyota,Model_T,2019,27357,Electric,Automatic,7,100,6669.299999999999
CAR_10,Tesla,Model_T,2011,69633,Electric,Manual,11,100,16562.7
CAR_11,Mercedes,Model_M,2021,62744,Diesel,Manual,7,100,38797.6
CAR_12,Honda,Model_H,2024,31443,Hybrid,Manual,11,100,16767.7
CAR_13,Audi,Model_A,2018,147389,Petrol,Manual,3,100,24144.1
CAR_14,Ford,Model_F,2019,73469,Hybrid,Automatic,1,100,5000.0
CAR_15,Honda,Model_H,2020,33698,Petrol,Automatic,3,100,10037.2
CAR_16,Mercedes,Model_M,2022,8169,Diesel,Automatic,4,100,45721.1
CAR_17,Audi,Model_A,2015,45503,Hybrid,Automatic,3,100,26884.7
CAR_18,Toyota,Model_T,2021,105151,Petrol,Automatic,5,100,5000.0
CAR_19,Toyota,Model_T,2012,112891,Electric,Automatic,8,100,5000.0
CAR_20,Honda,Model_H,2017,37814,Petrol,Manual,3,100,5000.0
CAR_21,Mercedes,Model_M,2019,81624,Diesel,Automatic,2,100,33782.6
CAR_22,Tesla,Model_T,2018,148499,Hybrid,Manual,4,100,23401.1
CAR_23,Toyota,Model_T,2010,135218,Hybrid,Automatic,4,100,5000.0
CAR_24,Tesla,Model_T,2020,25016,Hybrid,Automatic,5,100,37559.4
CAR_25,Toyota,Model_T,2019,51131,Petrol,Automatic,1,100,5000.0
CAR_26,Mercedes,Model_M,2011,46694,Diesel,Automatic,10,100,17426.6
CAR_27,Toyota,Model_T,2023,47678,Petrol,Automatic,3,100,12239.2
CAR_28,Ford,Model_F,2024,65078,Diesel,Automatic,9,100,13072.2
CAR_29,Toyota,Model_T,2012,103803,Electric,Manual,6,100,5000.0
CAR_30,Audi,Model_A,2024,55144,Electric,Manual,3,100,42879.6
CAR_31,Mercedes,Model_M,2024,141583,Hybrid,Manual,6,100,37727.7
CAR_32,Mercedes,Model_M,2013,62190,Electric,Manual,9,100,22343.0
CAR_33,Mercedes,Model_M,2016,37513,Electric,Automatic,9,100,31842.7
CAR_34,Toyota,Model_T,2013,71938,Hybrid,Automatic,1,100,5000.0
CAR_35,Mercedes,Model_M,2013,20147,Hybrid,Manual,12,100,25571.3
CAR_36,Audi,Model_A,2011,129974,Hybrid,Manual,10,100,9409.599999999999
CAR_37,Tesla,Model_T,2021,144658,Hybrid,Manual,9,100,28438.199999999997
CAR_38,Honda,Model_H,2012,65510,Hybrid,Manual,6,100,5000.0
CAR_39,Toyota,Model_T,2017,9689,Petrol,Automatic,8,100,6291.1
CAR_40,Tesla,Model_T,2011,84887,Diesel,Automatic,3,100,14715.3
CAR_41,Ford,Model_F,2020,46517,Petrol,Manual,11,100,9310.3
CAR_42,Mercedes,Model_M,2019,50790,Petrol,Manual,4,100,33510.0
CAR_43,Audi,Model_A,2015,105630,Diesel,Manual,3,100,23428.0
CAR_44,Honda,Model_H,2014,144748,Electric,Manual,12,100,5000.0
CAR_45,Toyota,Model_T,2018,11654,Electric,Manual,3,100,6639.6
CAR_46,BMW,Model_B,2016,40072,Hybrid,Manual,4,100,31982.8
CAR_47,Toyota,Model_T,2017,147078,Diesel,Automatic,9,100,5000.0
CAR_48,Audi,Model_A,2020,60611,Electric,Automatic,7,100,34710.9
CAR_49,BMW,Model_B,2019,134553,Petrol,Manual,1,100,25946.699999999997
CAR_50,Audi,Model_A,2017,148304,Hybrid,Automatic,7,100,19260.6
CAR_51,Honda,Model_H,2018,39351,Electric,Manual,4,100,5000.0
CAR_52,Mercedes,Model_M,2016,134474,Hybrid,Manual,3,100,19685.6
CAR_53,Ford,Model_F,2010,49983,Hybrid,Automatic,2,100,5000.0
CAR_54,Honda,Model_H,2022,38596,Petrol,Manual,10,100,11498.4
CAR_55,Audi,Model_A,2019,12283,Hybrid,Automatic,8,100,40153.7
CAR_56,Toyota,Model_T,2014,27443,Petrol,Automatic,1,100,5000.0
CAR_57,Ford,Model_F,2016,82223,Diesel,Manual,2,100,5000.0
CAR_58,Honda,Model_H,2014,146487,Electric,Manual,3,100,5000.0
CAR_59,Tesla,Model_T,2011,99120,Diesel,Manual,5,100,13087.0
CAR_60,Toyota,Model_T,2018,39945,Hybrid,Manual,11,100,5000.0
CAR_61,Tesla,Model_T,2011,125508,Electric,Manual,7,100,12141.199999999999
CAR_62,Mercedes,Model_M,2010,17766,Diesel,Automatic,8,100,20522.4
CAR_63,Ford,Model_F,2014,144685,Diesel,Manual,4,100,5000.0
CAR_64,BMW,Model_B,2010,126511,Petrol,Manual,4,100,7625.9
CAR_65,Honda,Model_H,2012,146392,Diesel,Automatic,5,100,5000.0
CAR_66,Honda,Model_H,2022,92742,Petrol,Automatic,8,100,8077.799999999999
CAR_67,Ford,Model_F,2024,145562,Petrol,Manual,11,100,6144.799999999999
CAR_68,Ford,Model_F,2020,32042,Hybrid,Automatic,1,100,9300.8
CAR_69,Tesla,Model_T,2019,44426,Diesel,Automatic,11,100,35396.4
CAR_70,Honda,Model_H,2020,149085,Hybrid,Manual,4,100,5000.0
CAR_71,Audi,Model_A,2020,96420,Petrol,Manual,3,100,33695.0
CAR_72,Toyota,Model_T,2010,104302,Electric,Manual,2,100,5000.0
CAR_73,Audi,Model_A,2013,42977,Petrol,Automatic,1,100,23896.3
CAR_74,BMW,Model_B,2014,38670,Electric,Manual,9,100,25058.0
CAR_75,Mercedes,Model_M,2020,104124,Electric,Automatic,10,100,30546.6
CAR_76,Toyota,Model_T,2019,37583,Electric,Manual,3,100,5000.0
CAR_77,Audi,Model_A,2024,94329,Hybrid,Automatic,6,100,39340.1
CAR_78,Honda,Model_H,2014,51228,Electric,Manual,12,100,5000.0
CAR_79,Ford,Model_F,2023,5651,Diesel,Automatic,8,100,15784.900000000001
CAR_80,Toyota,Model_T,2022,147899,Petrol,Automatic,11,100,5000.0
CAR_81,Ford,Model_F,2010,9493,Electric,Automatic,2,100,5000.0
CAR_82,BMW,Model_B,2015,52269,Petrol,Manual,10,100,28611.1
CAR_83,Audi,Model_A,2013,77201,Hybrid,Automatic,9,100,19510.9
CAR_84,BMW,Model_B,2017,62539,Hybrid,Manual,9,100,28787.1
CAR_85,Honda,Model_H,2020,90535,Hybrid,Manual,1,100,5000.0
CAR_86,Ford,Model_F,2014,117625,Petrol,Automatic,5,100,5000.0
CAR_87,Tesla,Model_T,2024,6170,Diesel,Automatic,10,100,50101.0
CAR_88,Audi,Model_A,2013,149213,Electric,Automatic,11,100,14360.699999999999
CAR_89,Audi,Model_A,2016,104622,Diesel,Automatic,10,100,23955.8
CAR_90,Honda,Model_H,2018,64846,Electric,Manual,12,100,5000.0
CAR_91,Audi,Model_A,2011,98422,Hybrid,Automatic,11,100,13525.8
CAR_92,Ford,Model_F,2012,87377,Hybrid,Automatic,11,100,5000.0
CAR_93,Toyota,Model_T,2016,25108,Hybrid,Manual,4,100,5000.0
CAR_94,Tesla,Model_T,2016,24834,Petrol,Manual,9,100,33207.6
CAR_95,Honda,Model_H,2022,146791,Petrol,Manual,9,100,5000.0
CAR_96,Mercedes,Model_M,2013,11184,Hybrid,Manual,10,100,26720.6
CAR_97,Tesla,Model_T,2012,64492,Hybrid,Manual,10,100,20989.8
CAR_98,Toyota,Model_T,2015,32574,Diesel,Manual,8,100,5000.0
CAR_99,Audi,Model_A,2020,120154,Diesel,Manual,1,100,29872.6
CAR_100,BMW,Model_B,2021,107397,Diesel,Automatic,5,100,31569.300000000003
CAR_101,Toyota,Model_T,2013,108650,Electric,Manual,10,100,5000.0
CAR_102,Tesla,Model_T,2020,142308,Petrol,Automatic,8,100,29068.199999999997
CAR_103,Tesla,Model_T,2011,47215,Petrol,Manual,7,100,18107.5
CAR_104,Ford,Model_F,2024,143047,Electric,Manual,11,100,7321.299999999999
